title,year,trim,price,mileage,source
Used 2023 MAZDA CX-9 Touring Plus,2023,touring plus,28888.0,27000,autotrader
Used 2023 MAZDA CX-9 Touring Plus,2023,touring plus,26995.0,60000,autotrader
Used 2023 MAZDA CX-9 Touring Plus,2023,touring plus,29581.0,26000,autotrader
Used 2023 MAZDA CX-9 Touring,2023,touring,25771.0,40000,autotrader
Used 2023 MAZDA CX-9 Carbon Edition,2023,carbon edition,30588.0,29000,autotrader
Used 2023 MAZDA CX-9 Carbon Edition,2023,carbon edition,31771.0,25000,autotrader
Used 2023 MAZDA CX-9 Grand Touring,2023,grand touring,29771.0,38000,autotrader
Used 2023 MAZDA CX-9 Grand Touring,2023,grand touring,24800.0,54000,autotrader
Used 2023 MAZDA CX-9 Signature,2023,signature,28459.0,65000,autotrader
Used 2023 MAZDA CX-9 Touring,2023,touring,25622.0,39000,autotrader
Used 2019 MAZDA CX-9 Grand Touring,2019,grand touring,21421.0,64000,autotrader
Certified 2023 MAZDA CX-9 Touring Plus,2023,touring plus,28500.0,44000,autotrader
Used 2023 MAZDA CX-9 Signature,2023,signature,32898.0,43000,autotrader
Used 2023 MAZDA CX-9 Touring Plus,2023,touring plus,29441.0,44000,autotrader
Certified 2023 MAZDA CX-9 Touring,2023,touring,28595.0,35000,autotrader
Certified 2022 MAZDA CX-9 Signature,2022,signature,29795.0,26000,autotrader
Used 2023 MAZDA CX-9 Touring Plus,2023,touring plus,29200.0,28000,autotrader
Used 2023 MAZDA CX-9 Grand Touring,2023,grand touring,,36000,autotrader
Used 2019 MAZDA CX-9 Touring,2019,touring,17571.0,72000,autotrader
Used 2019 MAZDA CX-9 Grand Touring,2019,grand touring,12500.0,168000,autotrader
Used 2018 MAZDA CX-9 Signature,2018,signature,15587.0,114000,autotrader
Used 2018 MAZDA CX-9 Touring,2018,touring,14977.0,117000,autotrader
Used 2021 MAZDA CX-9 Signature,2021,signature,23888.0,87000,autotrader
Used 2018 MAZDA CX-9 Signature,2018,signature,20820.0,67000,autotrader
Used 2019 MAZDA CX-9 Sport,2019,sport,13998.0,115000,autotrader
Used 2020 MAZDA CX-9 Touring,2020,touring,19975.0,70000,autotrader
Used 2014 MAZDA CX-9 Touring,2014,touring,6000.0,139000,autotrader
Used 2016 MAZDA CX-9 Signature,2016,signature,19541.0,76000,autotrader
Used 2012 MAZDA CX-9 Touring,2012,touring,6987.0,151000,autotrader
2023 Mazda CX-9,2023,touring plus,27865.0,31486,cargurus
2023 Mazda CX-9,2023,carbon edition,30588.0,29207,cargurus
2023 Mazda CX-9,2023,touring plus,29581.0,26405,cargurus
2023 Mazda CX-9,2023,touring,25771.0,40765,cargurus
2020 Mazda CX-9,2020,grand touring,23995.0,38801,cargurus
2023 Mazda CX-9,2023,grand touring,23612.0,59386,cargurus
2020 Mazda CX-9,2020,grand touring,22999.0,56295,cargurus
2023 Mazda CX-9,2023,grand touring,24800.0,54887,cargurus
2023 Mazda CX-9,2023,touring plus,28888.0,27375,cargurus
2022 Mazda CX-9,2022,touring plus,27444.0,28214,cargurus
2022 Mazda CX-9,2022,touring,22567.0,56970,cargurus
2023 Mazda CX-9,2023,grand touring,29771.0,38401,cargurus
2023 Mazda CX-9,2023,grand touring,28465.0,34795,cargurus
2023 Mazda CX-9,2023,touring plus,28500.0,44326,cargurus
2019 Mazda CX-9,2019,grand touring,19777.0,65523,cargurus
2023 Mazda CX-9,2023,touring plus,26695.0,44005,cargurus
2023 Mazda CX-9,2023,touring,27991.0,24443,cargurus
2023 Mazda CX-9,2023,grand touring,30547.0,25538,cargurus
2023 Mazda CX-9 Touring Plus,2023,touring plus,28998.0,33000,carmax
2021 Mazda CX-9 Grand Touring,2021,grand touring,24998.0,58000,carmax
2021 Mazda CX-9 Grand Touring,2021,grand touring,24998.0,59000,carmax
2020 Mazda CX-9 Touring,2020,touring,24998.0,44000,carmax
2023 Mazda CX-9 Grand Touring,2023,grand touring,29998.0,31000,carmax
2023 Mazda CX-9 Touring Plus,2023,touring plus,30998.0,15000,carmax
2022 Mazda CX-9 Carbon Edition,2022,carbon edition,26998.0,50000,carmax
2021 Mazda CX-9 Grand Touring,2021,grand touring,25998.0,62000,carmax
