model,model_label,iteration,seed,n_train,n_val,r2,mae,rmse,target_price
ridge,Ridge (Poly-2),1,7,99,33,0.6505,1408.91,2015.74,27639.74
ridge,Ridge (Poly-2),2,20,99,33,0.5345,1390.56,2079.21,27730.14
ridge,Ridge (Poly-2),3,33,99,33,0.7944,1213.79,1759.06,27715.88
ridge,Ridge (Poly-2),4,46,99,33,0.854,1179.19,1538.86,27261.25
ridge,Ridge (Poly-2),5,59,99,33,0.6993,1847.26,2620.77,27566.68
ridge,Ridge (Poly-2),6,72,99,33,0.8177,1315.33,1848.73,27629.68
ridge,Ridge (Poly-2),7,85,99,33,0.8057,1464.03,2065.43,27641.46
ridge,Ridge (Poly-2),8,98,99,33,0.7162,1420.68,1840.89,27453.58
ridge,Ridge (Poly-2),9,111,99,33,0.7853,1191.26,1826.33,27772.74
ridge,Ridge (Poly-2),10,124,99,33,0.8112,1329.05,1795.64,27710.53
ridge,Ridge (Poly-2),11,137,99,33,0.6222,1416.98,1909.35,27529.27
ridge,Ridge (Poly-2),12,150,99,33,0.8599,1068.73,1445.12,27682.23
ridge,Ridge (Poly-2),13,163,99,33,0.8742,993.71,1342.09,27566.26
ridge,Ridge (Poly-2),14,176,99,33,0.8209,1270.52,1751.83,27777.31
ridge,Ridge (Poly-2),15,189,99,33,0.7607,1095.06,1526.99,27421.37
ridge,Ridge (Poly-2),16,202,99,33,0.7157,1248.3,1675.74,27580.81
ridge,Ridge (Poly-2),17,215,99,33,0.8204,1464.26,2057.3,27335.43
ridge,Ridge (Poly-2),18,228,99,33,0.8145,1311.52,1787.31,27534.16
ridge,Ridge (Poly-2),19,241,99,33,0.895,1072.99,1347.22,27426.7
ridge,Ridge (Poly-2),20,254,99,33,0.8285,906.85,1393.14,27566.46
rf,Random Forest,1,7,99,33,0.6115,1569.62,2125.23,28240.04
rf,Random Forest,2,20,99,33,0.5374,1290.47,2072.74,27365.52
rf,Random Forest,3,33,99,33,0.7839,1217.64,1803.04,27161.36
rf,Random Forest,4,46,99,33,0.8298,1286.93,1661.2,27477.2
rf,Random Forest,5,59,99,33,0.7212,1837.19,2523.67,27269.11
rf,Random Forest,6,72,99,33,0.7701,1466.39,2075.97,27861.86
rf,Random Forest,7,85,99,33,0.754,1751.58,2323.52,27918.63
rf,Random Forest,8,98,99,33,0.6778,1385.01,1961.24,26881.23
rf,Random Forest,9,111,99,33,0.7797,1197.22,1850.02,28270.99
rf,Random Forest,10,124,99,33,0.7815,1479.13,1931.78,27306.39
rf,Random Forest,11,137,99,33,0.6422,1325.57,1858.12,27724.97
rf,Random Forest,12,150,99,33,0.9164,859.2,1116.21,27920.81
rf,Random Forest,13,163,99,33,0.8764,1044.63,1330.3,28379.74
rf,Random Forest,14,176,99,33,0.7958,1296.4,1870.26,27997.0
rf,Random Forest,15,189,99,33,0.7791,1022.73,1467.22,27464.35
rf,Random Forest,16,202,99,33,0.7664,1065.7,1518.85,27552.43
rf,Random Forest,17,215,99,33,0.8473,1460.97,1897.03,27503.79
rf,Random Forest,18,228,99,33,0.8072,1343.88,1822.24,27456.8
rf,Random Forest,19,241,99,33,0.8605,1165.27,1552.45,27259.5
rf,Random Forest,20,254,99,33,0.6985,1322.07,1847.22,26636.62
gbm,Gradient Boosting,1,7,99,33,0.4343,1770.67,2564.68,28775.37
gbm,Gradient Boosting,2,20,99,33,0.3263,1662.89,2501.41,27747.95
gbm,Gradient Boosting,3,33,99,33,0.7045,1527.16,2108.79,26551.85
gbm,Gradient Boosting,4,46,99,33,0.7695,1506.64,1933.49,27526.24
gbm,Gradient Boosting,5,59,99,33,0.7139,1906.02,2556.37,27346.66
gbm,Gradient Boosting,6,72,99,33,0.7748,1494.9,2054.51,27339.32
gbm,Gradient Boosting,7,85,99,33,0.7411,1592.45,2383.93,26984.82
gbm,Gradient Boosting,8,98,99,33,0.6091,1523.69,2160.44,26729.84
gbm,Gradient Boosting,9,111,99,33,0.7568,1144.13,1943.7,29325.07
gbm,Gradient Boosting,10,124,99,33,0.739,1606.16,2111.34,27528.51
gbm,Gradient Boosting,11,137,99,33,0.6247,1230.79,1903.01,26844.42
gbm,Gradient Boosting,12,150,99,33,0.8774,1019.09,1352.04,27323.27
gbm,Gradient Boosting,13,163,99,33,0.8065,1195.66,1664.74,29547.19
gbm,Gradient Boosting,14,176,99,33,0.777,1322.61,1954.58,27763.27
gbm,Gradient Boosting,15,189,99,33,0.6855,1231.75,1750.72,26333.18
gbm,Gradient Boosting,16,202,99,33,0.6484,1192.38,1863.58,26877.51
gbm,Gradient Boosting,17,215,99,33,0.8451,1367.26,1910.14,27022.37
gbm,Gradient Boosting,18,228,99,33,0.7846,1328.31,1926.07,27010.54
gbm,Gradient Boosting,19,241,99,33,0.8769,1023.32,1458.33,27113.05
gbm,Gradient Boosting,20,254,99,33,0.6725,1282.56,1924.95,26836.45
